ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID228944455,1/4 Hill St,HAWTHORN,665000.0,u,23/04/2016,2,1.0,3.0,0.0,54.0,-37.8183,145.0194,19905,498.71,13.95,False,1150.67,7827.0,922.33,Hawthorn West Primary School,220.86,125,Melbourne Girls College,646.34,not ranked
ID550730725,67 Belsize Av,CARNEGIE,1510000.0,h,16/09/2017,3,2.0,2.0,560.0,93.0,-37.893,145.05861000000004,19920,752.35,23.38,True,3767.67,18925.0,2042.33,Carnegie Primary School,439.76,77,Kilvington Grammar School,1691.51,37
ID393464549,1/21 Herbert St,MOUNT WAVERLEY,730000.0,u,12/08/2017,2,1.0,1.0,292.0,19.0,-37.86528,145.11775,19848,3220.63,30.67,True,1471.0,7759.67,779.67,Essex Heights Primary School,315.39,239,Ashwood High School,1270.18,241
ID343267233,55 Booyan Cr,GREENSBOROUGH,714000.0,h,12/08/2017,3,1.0,1.0,594.0,26.0,-37.69039,145.09753,19985,1780.72,41.67,False,663.0,4010.0,377.0,Apollo Parkways Primary School,1137.28,286,Loyola College,2070.21,206
ID283609677,61 Canterbury St,FLEMINGTON,1012000.0,h,13/08/2016,3,1.0,1.0,212.0,89.0,-37.7818,144.9247,20040,721.32,18.0,False,1923.67,8979.33,620.33,St Brendan's School,697.3,not ranked,Kensington Community High School,684.4,not ranked
ID240690644,673 Canning St,CARLTON NORTH,1628000.0,h,27/05/2017,3,1.0,0.0,216.0,11.0,-37.78026,144.97554,20019,1520.03,18.3,False,3767.67,18925.0,2042.33,Brunswick South Primary School,316.0,448,Princes Hill Secondary College,991.75,not ranked
ID978692710,36A Windsor Av,MCKINNON,1655000.0,t,26/08/2017,4,2.0,2.0,361.0,90.0,-37.91406,145.04865,19940,1000.38,33.15,False,512.0,1119.67,175.67,Valkstone Primary School,750.63,134,McKinnon Secondary College,206.81,48
ID369726501,3 Crisp St,ESSENDON,1652000.0,h,20/05/2017,5,2.0,1.0,697.0,99.0,-37.7459,144.9159,20036,466.86,27.0,False,330.33,1855.0,82.0,St Therese's School,760.7,387,St Columba's College,1266.06,85
ID450022072,1/108 Surrey Rd,BLACKBURN NORTH,706000.0,u,15/07/2017,2,1.0,1.0,305.0,79.0,-37.80906,145.15787,19898,1407.0,30.31,False,5.0,73.0,1.0,Old Orchard Primary School,499.72,433,Blackburn High School,716.54,216
ID266993579,53 Gloucester Rd,ASHBURTON,1450000.0,h,8/04/2017,2,1.0,1.0,627.0,10.0,-37.8689,145.0882,19847,753.61,31.67,False,1672.67,10063.67,646.33,St Michael's School,731.09,155,Ashwood High School,1415.74,241
ID292897224,41 Armstrong St,SUNSHINE WEST,715000.0,h,28/08/2016,5,2.0,2.0,654.0,7.0,-37.7907,144.821,20021,1072.33,24.56,False,2403.67,5212.33,586.67,Sunshine Heights Primary School,301.81,not ranked,Sunshine College,718.44,233
ID604696186,91 Rathmines Rd,HAWTHORN EAST,2350000.0,h,22/08/2016,4,2.0,2.0,556.0,119.0,-37.8204,145.0516,19903,552.89,17.9,False,1144.33,6845.67,375.67,Auburn Primary School,99.07,344,"Preshil, The Margaret Lyttle Memorial School",500.05,not ranked
ID851205713,131 Bradshaw St,ESSENDON,1695000.0,h,18/03/2017,3,1.0,3.0,855.0,9.0,-37.7432,144.8947,20036,2352.34,27.0,False,330.33,1855.0,82.0,St John Bosco's School,501.86,not ranked,Buckley Park College,512.28,123
ID924072676,20a Percy St,PRAHRAN,950000.0,h,3/09/2016,2,1.0,1.0,88.0,19.0,-37.8503,144.9913,19958,153.59,13.5,False,659.0,5219.33,338.33,Wesley College,821.27,202,Prahran High School,201.77,not ranked
ID974922708,8 Ipswich St,ST ALBANS,645000.0,h,3/09/2017,3,1.0,0.0,539.0,59.0,-37.74845,144.8144,20003,1094.44,29.38,False,1479.33,4398.67,502.0,St Albans Heights Primary School,355.62,not ranked,St Albans Secondary College,619.2,179
ID541436986,3 Port St,HIGHETT,1242000.0,h,12/08/2017,3,1.0,2.0,700.0,79.0,-37.95384,145.05443,52095,718.73,42.17,True,2837.0,9343.67,1212.67,Le Page Primary School,1346.38,not ranked,Cheltenham Secondary College,1250.46,285
ID808906544,18 Frankston St,RESERVOIR,644000.0,h,12/11/2016,2,1.0,2.0,455.0,79.0,-37.7246,144.9995,20011,512.07,31.2,False,824.67,1890.33,159.33,Reservoir West Primary School,861.19,not ranked,Preston High School,1992.55,not ranked
ID522317111,18 Katunga Cr,BROADMEADOWS,706000.0,h,29/07/2017,4,1.0,4.0,752.0,59.0,-37.67641,144.91435,20030,872.48,40.0,False,684.0,1695.67,161.0,Broadmeadows Valley Primary School,556.37,not ranked,Hume Central Secondary College,457.48,not ranked
ID464836686,1/21 Kayden St,CHELTENHAM,601000.0,u,27/05/2017,2,1.0,1.0,1078.0,47.0,-37.95745,145.07218999999995,19866,1855.65,42.12,False,1288.33,4242.33,480.0,Le Page Primary School,408.41,not ranked,Cheltenham Secondary College,513.49,285
ID502505536,9/63 Stawell St,RICHMOND,638000.0,u,16/04/2016,2,2.0,1.0,0.0,11.0,-37.822,145.0104,19906,667.58,11.9,False,824.67,1890.33,159.33,Trinity Catholic School,710.16,not ranked,Melbourne Girls College,350.5,not ranked
ID549860811,254 Thompsons Rd,TEMPLESTOWE LOWER,1302000.0,h,22/04/2017,4,2.0,2.0,650.0,8.0,-37.7686,145.1023,19935,3880.45,29.82,False,2532.33,5455.0,713.0,St Clement of Rome School,1063.0,196,Templestowe College,1765.27,307
ID190957556,11/22 Brenbeal St,BALWYN,760000.0,t,10/12/2016,2,1.0,1.0,121.0,59.0,-37.8112,145.0881,19894,1459.0,25.77,False,925.67,4701.33,308.67,Balwyn Primary School,665.1,16,Fintona Girls' School,813.34,not ranked
ID460271126,18 Malcolm Ct,MOUNT WAVERLEY,1530000.0,h,17/06/2017,3,1.0,1.0,750.0,49.0,-37.87718,145.11248,19847,3048.26,31.67,False,1471.0,7759.67,779.67,St Mary Magdalen's School,1032.55,not ranked,Salesian College,1239.25,153
ID997149680,10 Mowbray St,HAWTHORN EAST,3255000.0,h,17/06/2017,4,3.0,3.0,1116.0,35.0,-37.84283,145.05178,19851,1810.31,24.67,False,1253.67,7401.33,484.67,Auburn South Primary School,652.23,124,Alia College,582.46,500
ID552265695,2/19 Thurloo St,CHADSTONE,881000.0,t,28/08/2016,4,2.0,1.0,188.0,5.0,-37.8781,145.0955,19847,1767.34,31.67,False,1540.67,6062.33,477.67,St Mary Magdalen's School,534.28,not ranked,Salesian College,664.0,153
ID814618877,16 Thistle St,BRUNSWICK,940000.0,t,8/10/2016,3,2.0,1.0,186.0,3.0,-37.7581,144.9514,19967,888.76,27.33,True,958.67,5673.0,628.0,Brunswick North Primary School,211.36,not ranked,Brunswick Secondary College,1459.73,211
ID731509896,26 Newton St,SURREY HILLS,2060000.0,h,18/03/2017,4,2.0,2.0,745.0,44.0,-37.8299,145.1088,19895,1089.49,25.5,False,2532.33,5455.0,713.0,Our Lady of Perpetual Succour School,228.3,178,Kingswood College,921.52,106
ID226066701,34 Martins La,VIEWBANK,870000.0,h,27/05/2017,3,2.0,2.0,291.0,19.0,-37.73253,145.0873,19983,1755.49,34.75,False,647.0,2861.33,222.67,Viewbank Primary School,340.67,238,Viewbank College,966.7,96
ID740289552,3811/80 Abeckett St,MELBOURNE,450000.0,u,7/11/2016,2,1.0,1.0,0.0,5.0,-37.8091,144.9609,19842,175.79,4.74,False,278.0,489.0,65.0,Carlton Gardens Primary School,1090.93,199,Ozford College,708.5,530
ID169385566,81 Parramatta Rd,WERRIBEE,470000.0,h,16/09/2017,3,1.0,2.0,640.0,34.0,-37.88537,144.65337,19921,1701.41,35.14,True,98.67,190.67,19.0,Westgrove Primary School,936.65,not ranked,Wyndham Central Secondary College,398.75,not ranked
ID292132961,56 Asling St,BRIGHTON,1990000.0,t,22/04/2017,3,2.0,2.0,0.0,84.0,-37.901,145.0026,19952,432.71,24.5,False,2897.33,11243.0,942.0,St James' School,551.52,248,Star of the Sea College,697.76,54
ID680670690,49 Rogerson St,AVONDALE HEIGHTS,795000.0,h,28/05/2016,3,1.0,1.0,549.0,59.0,-37.7644,144.8575,20004,3241.05,26.38,False,1654.0,9119.67,550.0,Avondale Primary School,404.92,326,Braybrook College,1774.23,139
ID703936258,115 Bignell Rd,BENTLEIGH EAST,1160000.0,h,30/07/2016,2,1.0,2.0,750.0,14.0,-37.9325,145.0694,19937,2875.07,38.27,False,925.67,4701.33,308.67,East Bentleigh Primary School,223.31,not ranked,St James' College,692.85,not ranked
ID464772481,2/62 Clydesdale Rd,AIRPORT WEST,530000.0,u,10/09/2016,2,1.0,1.0,120.0,7.0,-37.7234,144.8792,20033,3775.33,34.0,False,1202.0,5034.33,333.0,St Christopher's School,201.62,274,Penleigh & Essendon Grammar School,1248.4,not ranked
ID251212131,375 South Rd,BRIGHTON EAST,1650000.0,h,26/08/2017,5,2.0,5.0,773.0,69.0,-37.93203,145.02844,19937,773.12,38.27,False,2897.33,11243.0,942.0,Bentleigh West Primary School,1282.47,31,Our Lady of the Sacred Heart College,1229.98,not ranked
ID818033189,38 Stewart St,BRUNSWICK,1317000.0,h,28/05/2016,3,1.0,1.0,480.0,17.0,-37.7639,144.966,19967,553.53,27.33,True,958.67,5673.0,628.0,St Margaret Mary's School,618.95,483,Sydney Road Community School,739.68,447
ID950246917,3 Stenson Rd,KEALBA,515000.0,h,10/12/2016,3,1.0,4.0,597.0,44.0,-37.7392,144.8241,20002,2208.81,31.38,False,555.67,1129.0,160.67,St Paul's Kealba Catholic School,724.43,386,St Albans Secondary College,1550.52,179
ID428392457,24 Gretana Cr,FRANKSTON,550000.0,h,19/08/2017,3,2.0,1.0,539.0,48.0,-38.14406,145.16352,19855,3272.73,68.82,False,517.33,2973.0,288.67,Karingal Heights Primary School,407.25,not ranked,McClelland Secondary College,509.96,355
ID860486273,157 Albion St,BRUNSWICK,770000.0,h,15/10/2016,2,1.0,0.0,152.0,109.0,-37.7611,144.966,19967,468.09,27.33,False,958.67,5673.0,628.0,St Margaret Mary's School,338.65,483,Sydney Road Community School,1022.81,447
ID161442485,10/27 Lewisham Rd,WINDSOR,600000.0,u,18/06/2016,2,1.0,1.0,0.0,49.0,-37.8559,144.999,19957,612.38,15.5,False,1002.67,4068.0,328.33,Windsor Primary School,330.0,not ranked,Presentation College Windsor,423.27,not ranked
ID988180371,78 Bowen St,CAMBERWELL,4060000.0,h,3/09/2017,4,3.0,2.0,947.0,59.0,-37.84457,145.06218,19850,1177.94,26.67,False,3767.67,18925.0,2042.33,Camberwell South Primary School,373.18,327,Alia College,1502.49,500
ID781294565,11b Lilac St,BENTLEIGH EAST,1005000.0,t,16/07/2016,4,2.0,2.0,296.0,13.0,-37.9197,145.05700000000004,19939,1774.92,35.15,False,925.67,4701.33,308.67,Valkstone Primary School,567.02,134,Bentleigh Secondary College,887.06,230
ID972993404,41 Burgundy Dr,DONCASTER,1180000.0,h,15/10/2016,3,1.0,2.0,657.0,59.0,-37.7807,145.1193,20042,4292.21,25.77,False,1566.67,8895.33,491.0,St Gregory the Great School,262.6,174,Templestowe College,1500.89,307
ID652280782,3/33 Elphin Gr,HAWTHORN,450000.0,u,30/07/2016,2,1.0,1.0,0.0,49.0,-37.8186,145.0423,19903,525.24,17.9,False,1150.67,7827.0,922.33,Methodist Ladies' College,616.45,41,Swinburne Senior Secondary College,521.31,not ranked
ID111573745,5 MacKenzie St,BRUNSWICK,1222500.0,h,10/12/2016,3,1.0,0.0,331.0,129.0,-37.7619,144.959,19967,165.31,27.33,False,958.67,5673.0,628.0,Brunswick North Primary School,788.39,not ranked,Sydney Road Community School,903.49,447
ID633582295,1/152 Blyth St,ALTONA,743000.0,t,12/11/2016,3,2.0,2.0,211.0,69.0,-37.8698,144.816,19925,561.16,28.5,False,2489.67,11817.33,1268.67,Altona Primary School,636.58,213,Mount St Joseph Girls' College,758.67,119
ID844090518,7/21 Lillimur Rd,ORMOND,447000.0,u,27/11/2016,1,1.0,1.0,0.0,13.0,-37.9016,145.0414,19941,238.35,32.15,False,268.33,736.0,128.33,Kilvington Grammar School,232.21,61,Kilvington Grammar School,232.21,37
ID507278754,44 Saunders St,COBURG,1600000.0,h,3/06/2017,3,2.0,2.0,737.0,89.0,-37.75107,144.95112,19966,1015.82,30.0,False,1097.67,5916.0,553.33,St Fidelis' School,142.32,not ranked,Antonine College,1324.31,482
ID423761054,4 Ella Ct,DONCASTER,1300000.0,h,8/04/2017,4,2.0,2.0,872.0,49.0,-37.7906,145.1138,20042,3255.97,25.77,False,1666.0,9333.67,523.0,Birralee Primary School,316.2,71,Koonung Secondary College,1331.91,94
ID338836405,3 Penn Ct,FAWKNER,605000.0,h,17/09/2016,3,1.0,2.0,531.0,54.0,-37.7022,144.9669,19961,726.88,39.0,False,1144.33,6845.67,375.67,St Matthew's School,459.59,not ranked,John Fawkner Secondary College,440.42,not ranked
ID831286327,26 Clarendon St,AVONDALE HEIGHTS,665000.0,h,22/07/2017,4,1.0,1.0,538.0,59.0,-37.76518,144.85621,20004,3100.55,26.38,False,1672.67,10063.67,646.33,Avondale Primary School,480.53,326,Braybrook College,1643.61,139
ID381230741,3/1526 High St,GLEN IRIS,420000.0,u,27/11/2016,1,1.0,1.0,805.0,8.0,-37.8592,145.0484,19944,1853.6,20.8,False,1923.67,8979.33,620.33,Sacre Coeur,398.1,176,Sacre Coeur,398.1,16
ID885532214,17 Bannister St,JACANA,618000.0,h,20/05/2017,4,1.0,2.0,604.0,49.0,-37.6875,144.9102,20030,965.98,40.0,False,92.33,260.0,36.67,Broadmeadows Valley Primary School,760.41,not ranked,Penola Catholic College,711.39,361
ID945125976,5 Octavia St,ST KILDA,920000.0,h,29/04/2017,2,1.0,0.0,190.0,64.0,-37.8579,144.9844,19957,701.84,15.5,False,1412.0,6364.0,699.33,St Kilda Park Primary School,581.09,73,St Michael's Grammar School,654.49,58
ID506103181,91 Campbell St,HEATHMONT,1270500.0,h,22/07/2017,4,2.0,3.0,801.0,62.0,-37.82734,145.24487,19871,112.79,41.08,False,512.0,1119.67,175.67,Great Ryrie Primary School,749.16,497,Aquinas College,995.15,151
ID844338673,53/69 Palmer St,RICHMOND,815000.0,u,7/11/2016,2,2.0,2.0,0.0,6.0,-37.8187,145.0079,19906,986.76,11.9,True,824.67,1890.33,159.33,Trinity Catholic School,318.44,not ranked,Richmond High School,470.64,not ranked
ID512077081,40 Angus St,HADFIELD,740000.0,h,12/11/2016,3,1.0,1.0,568.0,59.0,-37.7077,144.9438,19961,1540.64,39.0,False,1683.67,8938.67,509.33,St Thomas More's School,110.31,not ranked,Pascoe Vale Girls Secondary College,1319.1,not ranked
ID513094432,4/22 Murray St,BRUNSWICK WEST,380000.0,u,10/09/2016,2,1.0,1.0,0.0,49.0,-37.7594,144.9427,19967,1595.91,27.33,False,958.67,5673.0,628.0,Brunswick North West Primary School,309.78,456,Brunswick Secondary College,1676.89,211
ID250204063,3/1 Grant St,MALVERN EAST,1060000.0,t,27/05/2017,3,1.0,1.0,206.0,39.0,-37.87107,145.04991,19943,962.81,21.27,False,717.33,1763.0,318.67,St Mary's School,342.09,159,Sacre Coeur,1047.37,16
ID838197555,1/8 Graves St,ESSENDON,864000.0,t,1/07/2017,3,1.0,2.0,177.0,19.0,-37.7401,144.89674,20036,2272.37,27.0,False,330.33,1855.0,82.0,Essendon North Primary School,589.51,261,Buckley Park College,786.21,123
ID354364426,41 River St,MARIBYRNONG,986500.0,h,8/10/2016,3,1.0,1.0,629.0,13.0,-37.7798,144.8872,20023,2455.49,19.4,False,610.0,1743.67,228.0,Footscray North Primary School,946.47,235,Maribyrnong Secondary College,96.46,not ranked
ID868179063,6 Conrad Ct,BLACKBURN NORTH,1001000.0,h,17/06/2017,3,1.0,1.0,671.0,49.0,-37.802,145.15828,19898,2138.92,30.31,False,5.0,73.0,1.0,Beverley Hills Primary School,655.4,7,Blackburn High School,1188.37,216
ID463137168,21 Penn Ct,FAWKNER,750000.0,h,18/06/2016,4,2.0,1.0,613.0,49.0,-37.7034,144.9666,19961,744.85,39.0,False,1144.33,6845.67,375.67,Darul Ulum College of Victoria,490.19,438,John Fawkner Secondary College,469.46,not ranked
ID560860862,15/289 Barkly St,ST KILDA,482300.0,u,25/02/2017,2,1.0,0.0,0.0,39.0,-37.8735,144.9798,19956,1285.03,17.5,False,1412.0,6364.0,699.33,Yesodei HaTorah College,325.75,277,Yesodei HaTorah College,325.75,38
ID416987662,36/73 River St,RICHMOND,592000.0,u,9/09/2017,2,2.0,1.0,14294.0,13.0,-37.81894000000001,145.01314,19905,916.28,13.95,False,885.0,1901.0,227.67,Hawthorn West Primary School,478.64,125,Melbourne Girls College,410.71,not ranked
ID959976384,5 Hibiscus Rd,BLACKBURN NORTH,1250000.0,h,12/08/2017,4,2.0,2.0,580.0,54.0,-37.8051,145.14351000000005,19898,1761.91,30.31,False,5.0,73.0,1.0,Kerrimuir Primary School,743.6,91,Blackburn High School,811.97,216
ID597320259,4/236 Boundary Rd,PASCOE VALE,530000.0,t,27/05/2017,2,2.0,1.0,135.0,69.0,-37.71628,144.93822,20033,1482.35,34.0,False,705.33,5479.67,335.0,Westbreen Primary School,241.63,321,Pascoe Vale Girls Secondary College,279.0,not ranked
ID319997451,33/1 St Kilda Rd,ST KILDA,575000.0,u,3/12/2016,2,1.0,1.0,0.0,49.0,-37.8573,144.9825,19957,849.47,15.5,True,1363.67,6287.67,564.33,St Kilda Park Primary School,423.49,73,St Michael's Grammar School,833.69,58
ID876532257,78 Stewart St,BRUNSWICK,910000.0,h,8/10/2016,3,1.0,1.0,215.0,89.0,-37.7642,144.9688,19967,786.47,27.33,False,958.67,5673.0,628.0,St Margaret Mary's School,621.7,483,Sydney Road Community School,862.92,447
ID459562946,14 Doon St,PRAHRAN,1430000.0,h,6/08/2016,3,1.0,0.0,135.0,119.0,-37.8495,144.9885,19958,119.55,13.5,False,659.0,5219.33,338.33,Wesley College,563.64,202,Prahran High School,368.72,not ranked
ID279547192,42 Elimatta Rd,CARNEGIE,1450000.0,h,27/05/2017,3,2.0,2.0,621.0,79.0,-37.90262,145.05709,19941,1536.47,32.15,False,3767.67,18925.0,2042.33,McKinnon Primary School,712.42,282,McKinnon Secondary College,1304.4,48
ID746953321,1872a Malvern Rd,MALVERN EAST,1400000.0,h,7/11/2016,4,2.0,2.0,260.0,25.0,-37.8708,145.0616,19847,1610.47,31.67,False,610.0,1743.67,228.0,Lloyd Street Primary School,515.03,158,Korowa Anglican Girls' School,1206.98,13
ID163268702,405/250 Barkly St,FOOTSCRAY,370000.0,u,18/06/2016,2,1.0,1.0,0.0,12.0,-37.7992,144.8961,20024,548.66,17.4,False,1923.67,8979.33,620.33,Footscray Primary School,315.19,not ranked,Gilmore College For Girls,107.38,387
ID387752728,16/77 St James Rd,ROSANNA,531000.0,t,10/09/2016,2,1.0,1.0,83.0,29.0,-37.747,145.07,19936,570.88,31.75,False,824.67,1890.33,159.33,Banyule Primary School,794.06,86,Our Lady of Mercy College,1235.11,90
ID514537070,343 Waverley Rd,MALVERN EAST,1902000.0,h,9/09/2017,3,2.0,2.0,728.0,119.0,-37.87742,145.06162,19920,1017.77,23.38,False,717.33,1763.0,318.67,Lloyd Street Primary School,738.15,158,Korowa Anglican Girls' School,1880.24,13
ID268891581,39 Middle St,ASCOT VALE,1530000.0,h,27/05/2017,3,2.0,1.0,257.0,104.0,-37.77727,144.92655,20039,470.04,20.0,False,2494.67,11307.0,1410.0,Ascot Vale Primary School,330.35,249,Mount Alexander 7-12 College,800.94,not ranked
ID755084117,76 Castle St,EAGLEMONT,1650000.0,h,10/09/2016,4,3.0,2.0,724.0,79.0,-37.7594,145.0594,19935,282.67,29.82,False,1566.67,8895.33,491.0,St John's School,658.84,489,Our Lady of Mercy College,738.78,90
ID351042938,5 Morris St,PARKDALE,1350000.0,h,29/07/2017,5,2.0,2.0,653.0,69.0,-37.99336,145.08953,19864,1158.7,47.07,False,938.33,6892.67,553.33,St John Vianney's School,413.43,459,Parkdale Secondary College,487.15,234
ID245413807,216 Gower St,PRESTON,965000.0,h,7/11/2016,3,1.0,2.0,581.0,109.0,-37.7411,145.0115,20012,1003.4,28.3,False,659.0,5219.33,338.33,Sacred Heart School,795.94,66,Preston High School,461.16,not ranked
ID856662990,2 Ravenwoods Wy,CRAIGIEBURN,492000.0,h,16/09/2017,3,2.0,2.0,255.0,10.0,-37.59735,144.91118,40221,2877.92,49.0,False,1288.33,4242.33,480.0,Aitken Hill Primary School,694.15,not ranked,Kolbe Catholic College,2006.18,430
ID399024989,8/46 Kororoit Creek Rd,WILLIAMSTOWN NORTH,460000.0,u,11/03/2017,2,1.0,1.0,0.0,40.0,-37.8573,144.8854,19993,322.53,20.86,False,1064.67,4200.67,432.67,Bayside P-12 College,47.45,not ranked,Bayside P-12 College,47.45,243
ID537212220,42 College St,HAWTHORN,1350000.0,h,26/08/2017,2,1.0,0.0,208.0,59.0,-37.81732,145.02508999999995,19905,537.34,13.95,False,1173.67,8523.67,974.67,Xavier College,654.45,284,Xavier College,654.45,53
ID777189002,72 Bath Rd,GLEN IRIS,1300000.0,h,19/08/2017,3,1.0,2.0,403.0,59.0,-37.85574,145.09051000000005,19849,994.25,28.67,False,2047.67,9171.0,742.33,St Benedict's School,921.86,not ranked,Ashwood High School,1491.92,241
ID213211817,23 Bayview Cr,HOPPERS CROSSING,565000.0,h,26/08/2017,3,2.0,2.0,530.0,34.0,-37.87199,144.7062,19922,1338.21,32.14,False,512.0,1119.67,175.67,Bellbridge Primary School,414.95,not ranked,Hoppers Crossing Secondary College,956.53,not ranked
ID940753574,2/71 Southern Rd,HEIDELBERG HEIGHTS,440000.0,u,12/11/2016,2,1.0,2.0,281.0,49.0,-37.7429,145.0519,19936,1253.51,31.75,False,1150.67,7827.0,922.33,St Pius X School,666.71,not ranked,Charles La Trobe P-12 College,1661.02,465
ID239210375,11 Stephens St,BALWYN NORTH,3000000.0,h,15/10/2016,4,3.0,2.0,1247.0,69.0,-37.7964,145.086,19896,3085.55,28.79,False,925.67,4701.33,308.67,Balwyn North Primary School,788.49,142,Balwyn High School,827.76,44
ID312660555,7 Garnet St,ESSENDON WEST,1305000.0,h,20/05/2017,3,1.0,2.0,147.0,79.0,-37.7523,144.8862,20037,2672.28,24.0,False,1253.67,7401.33,484.67,Aberfeldie Primary School,887.01,227,St Bernard's College,417.74,130
ID464311552,3/23 Auburn Gr,HAWTHORN EAST,568000.0,u,22/08/2016,2,1.0,1.0,0.0,59.0,-37.8254,145.0476,19903,368.1,17.9,False,1144.33,6845.67,375.67,Auburn Primary School,624.02,344,Swinburne Senior Secondary College,647.2,not ranked
ID471645898,2/65 Clifton St,ABERFELDIE,1300000.0,h,8/04/2017,3,3.0,2.0,240.0,6.0,-37.762,144.8916,20037,2265.05,24.0,False,817.67,1779.67,181.0,St Margaret's Primary School,547.13,216,Ave Maria College,820.13,111
ID538952675,2/4 Hinton Rd,GLEN HUNTLY,635000.0,t,19/11/2016,2,2.0,1.0,81.0,59.0,-37.8877,145.0449,19942,325.35,29.23,False,431.33,971.0,220.67,St Anthony's School,213.37,485,Glen Eira College,645.29,215
ID258142871,3/35 Creswick St,HAWTHORN,815000.0,u,18/06/2016,2,1.0,1.0,0.0,79.0,-37.8184,145.0163,19905,694.36,13.95,True,1150.67,7827.0,922.33,Hawthorn West Primary School,263.96,125,Melbourne Girls College,488.77,not ranked
ID535371393,2/15 Ogden St,GLENROY,525000.0,t,1/07/2017,3,1.0,1.0,194.0,8.0,-37.70168,144.94862,19961,910.01,39.0,False,1841.67,9184.67,533.33,Belle Vue Park Primary School,415.93,not ranked,Glenroy Private,1759.43,not ranked
ID522830153,5/46 Greeves St,ST KILDA,431000.0,u,18/06/2016,2,1.0,1.0,0.0,79.0,-37.8665,144.9833,19956,957.05,17.5,False,1363.67,6287.67,564.33,St Kilda Primary School,651.4,169,Yesodei HaTorah College,749.02,38
ID305609236,103/677 Glen Huntly Rd,CAULFIELD,638000.0,u,19/11/2016,2,2.0,1.0,0.0,59.0,-37.8862,145.0175,19954,1467.46,21.5,False,1540.67,6062.33,477.67,Caulfield Primary School,303.36,99,Japanese School of Melbourne,714.97,not ranked
ID832224047,3 Avondale Rd,PRESTON,980000.0,h,17/09/2016,3,2.0,1.0,479.0,89.0,-37.7425,145.014,20012,1260.57,28.3,False,659.0,5219.33,338.33,Preston South Primary School,830.45,not ranked,Preston High School,683.11,not ranked
ID978308082,23 Viewbank Dr,KEILOR EAST,732000.0,h,28/08/2016,4,2.0,2.0,544.0,39.0,-37.7479,144.8763,20037,3625.81,24.0,False,555.67,1129.0,160.67,St John Bosco's School,1215.84,not ranked,St Bernard's College,629.63,130
ID587664890,7 Llaneast St,ARMADALE,1939000.0,h,3/12/2016,3,2.0,2.0,296.0,130.0,-37.8614,145.0274,19944,565.31,20.8,False,2489.67,11817.33,1268.67,St Joseph's School,496.85,113,De La Salle College,590.3,115
ID892631002,3/11 Burnett St,ST KILDA,420000.0,u,12/11/2016,1,1.0,0.0,954.0,74.0,-37.8612,144.9804,19957,1172.16,15.5,False,1363.67,6287.67,564.33,St Kilda Park Primary School,412.6,73,St Michael's Grammar School,996.84,58
ID630212505,18 Barry St,WATSONIA,830000.0,h,22/07/2017,3,1.0,1.0,598.0,44.0,-37.717,145.08891,19984,809.55,37.67,False,647.0,2861.33,222.67,Watsonia Heights Primary School,1057.75,283,Greensborough Secondary College,969.92,not ranked
ID745812426,9 Verdun St,MAIDSTONE,905000.0,h,30/07/2016,3,1.0,1.0,686.0,49.0,-37.782,144.8828,20023,2216.2,19.4,False,610.0,1743.67,228.0,Footscray North Primary School,641.6,235,Maribyrnong Secondary College,552.32,not ranked
ID483678406,104/27 Macquarie St,PRAHRAN,440000.0,u,17/06/2017,1,1.0,1.0,0.0,4.0,-37.85012,144.99225,19958,220.5,13.5,False,705.33,5479.67,335.0,Windsor Primary School,854.3,not ranked,Prahran High School,243.32,not ranked
ID634400518,6/105 Locksley Rd,IVANHOE,490000.0,u,7/05/2016,2,1.0,1.0,0.0,59.0,-37.7669,145.0505,19934,477.4,29.0,True,555.67,1129.0,160.67,Ivanhoe Girls' Grammar School,378.67,38,Ivanhoe Girls' Grammar School,378.67,49
ID770245703,42 Kars St,FRANKSTON,640000.0,h,1/07/2017,3,2.0,1.0,368.0,49.0,-38.1523,145.11874,19855,1223.2,68.82,True,517.33,2973.0,288.67,Frankston Primary School,702.31,not ranked,Frankston High School,1282.84,87
ID321225633,14 Collins St,BOX HILL,1670000.0,h,25/02/2017,4,2.0,2.0,590.0,95.0,-37.8274,145.1242,20042,942.43,25.77,True,2897.33,11243.0,942.0,Kingswood College,773.48,53,Kingswood College,773.48,106
ID939022521,36 Invermay Gr,HAWTHORN EAST,2381000.0,h,15/10/2016,4,2.0,2.0,457.0,119.0,-37.8332,145.0461,19903,1202.62,17.9,True,1144.33,6845.67,375.67,Auburn South Primary School,675.16,124,SEDA College (Victoria),748.16,not ranked
ID705363311,1 Shiers St,ALPHINGTON,1800000.0,h,24/06/2017,4,1.0,2.0,605.0,89.0,-37.77474,145.03011999999995,19931,418.79,24.0,False,1214.67,5603.67,375.33,Mary Immaculate School,821.28,446,Alphington Grammar School,827.51,86
